"","pathway_name","complex_ID","pathway_ID","top_level_pathway_ID","top_level_pathway_name","species"
"859","N-glycan antennae elongation in the medial/trans-Golgi",NA,NA,NA,NA,NA
"860","N-glycan trimming in the ER and Calnexin/Calreticulin cycle","R-ALL-6782684","R-HSA-532668","R-HSA-392499","Metabolism of proteins","General (all species)"
"861","N-glycan trimming in the ER and Calnexin/Calreticulin cycle","R-HSA-532534","R-HSA-532668","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"862","Na+/Cl- dependent neurotransmitter transporters",NA,NA,NA,NA,NA
"863","NCAM signaling for neurite out-growth","R-HSA-109783","R-HSA-375165","R-HSA-1266738","Developmental Biology","Homo sapiens (Human)"
"864","NCAM1 interactions","R-HSA-190988","R-HSA-419037","R-HSA-1266738","Developmental Biology","Homo sapiens (Human)"
"865","Neddylation","R-HSA-1234113","R-HSA-8951664","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"866","Nef mediated downregulation of MHC class I complex cell surface expression","R-HSA-167717","R-HSA-164940","R-HSA-1643685","Disease","Homo sapiens (Human)"
"867","Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters",NA,NA,NA,NA,NA
"868","Negative epigenetic regulation of rRNA expression",NA,NA,NA,NA,NA
"869","Negative regulation of activity of TFAP2 (AP-2) family transcription factors","R-HSA-2993783","R-HSA-8866904","R-HSA-74160","Gene expression (Transcription)","Homo sapiens (Human)"
"870","Negative regulation of FGFR1 signaling","R-HSA-109844","R-HSA-5654726","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"871","Negative regulation of FGFR2 signaling","R-HSA-109844","R-HSA-5654727","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"872","Negative regulation of FGFR3 signaling","R-HSA-109844","R-HSA-5654732","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"873","Negative regulation of FGFR4 signaling","R-HSA-109844","R-HSA-5654733","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"874","Negative regulation of FLT3","R-HSA-8854740","R-HSA-9706369","R-HSA-168256","Immune System","Homo sapiens (Human)"
"875","Negative regulation of MAPK pathway","R-HSA-109783","R-HSA-5675221","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"876","Negative regulation of MET activity","R-HSA-141763","R-HSA-6807004","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"877","Negative regulation of NMDA receptor-mediated neuronal transmission","R-HSA-112281","R-HSA-9617324","R-HSA-112316","Neuronal System","Homo sapiens (Human)"
"878","Negative regulation of NOTCH4 signaling","R-HSA-1604469","R-HSA-9604323","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"879","Negative regulation of TCF-dependent signaling by WNT ligand antagonists","R-HSA-3769334","R-HSA-3772470","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"880","Negative regulation of the PI3K/AKT network","R-HSA-199450","R-HSA-199418","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"881","Negative regulators of DDX58/IFIH1 signaling","R-HSA-1169389","R-HSA-936440","R-HSA-168256","Immune System","Homo sapiens (Human)"
"882","NEP/NS2 Interacts with the Cellular Export Machinery","R-FLU-192767","R-HSA-168333","R-HSA-1643685","Disease","Influenza A virus"
"883","NEP/NS2 Interacts with the Cellular Export Machinery","R-HSA-157689","R-HSA-168333","R-HSA-1643685","Disease","Homo sapiens (Human)"
"884","Nephrin family interactions","R-HSA-373670","R-HSA-373753","R-HSA-1500931","Cell-Cell communication","Homo sapiens (Human)"
"885","Nervous system development",NA,NA,NA,NA,NA
"886","Netrin-1 signaling","R-HSA-204367","R-HSA-373752","R-HSA-1266738","Developmental Biology","Homo sapiens (Human)"
"887","Neurexins and neuroligins","R-HSA-6794286","R-HSA-6794361","R-HSA-112316","Neuronal System","Homo sapiens (Human)"
"888","Neurodegenerative Diseases",NA,NA,NA,NA,NA
"889","Neuronal System",NA,NA,NA,"Neuronal System",NA
"890","Neurotoxicity of clostridium toxins",NA,NA,NA,NA,NA
"891","Neurotransmitter clearance","R-HSA-9634839","R-HSA-112311","R-HSA-112316","Neuronal System","Homo sapiens (Human)"
"892","Neurotransmitter receptors and postsynaptic signal transmission","R-HSA-6792753","R-HSA-112314","R-HSA-112316","Neuronal System","Homo sapiens (Human)"
"893","Neurotransmitter release cycle","R-HSA-6803758","R-HSA-112310","R-HSA-112316","Neuronal System","Homo sapiens (Human)"
"894","Neutrophil degranulation",NA,NA,NA,NA,NA
"895","NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10","R-HSA-168113","R-HSA-933543","R-HSA-168256","Immune System","Homo sapiens (Human)"
"896","NF-kB is activated and signals survival","R-HSA-187031","R-HSA-209560","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"897","NGF-stimulated transcription","R-HSA-111911","R-HSA-9031628","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"898","Nicotinamide salvaging",NA,NA,NA,NA,NA
"899","Nicotinate metabolism","R-HSA-109266","R-HSA-196807","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"900","NIK-->noncanonical NF-kB signaling","R-HSA-5607679","R-HSA-5676590","R-HSA-168256","Immune System","Homo sapiens (Human)"
"901","Nitric oxide stimulates guanylate cyclase","R-HSA-392012","R-HSA-392154","R-HSA-109582","Hemostasis","Homo sapiens (Human)"
"902","NOD1/2 Signaling Pathway","R-COV-9694702","R-HSA-168638","R-HSA-168256","Immune System","Human SARS coronavirus"
"903","NOD1/2 Signaling Pathway","R-HSA-1248657","R-HSA-168638","R-HSA-168256","Immune System","Homo sapiens (Human)"
"904","Non-integrin membrane-ECM interactions","R-HSA-2089970","R-HSA-3000171","R-HSA-1474244","Extracellular matrix organization","Homo sapiens (Human)"
"905","Nonhomologous End-Joining (NHEJ)","R-HSA-5682162","R-HSA-5693571","R-HSA-73894","DNA Repair","Homo sapiens (Human)"
"906","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","R-HSA-143378","R-HSA-975957","R-HSA-8953854","Metabolism of RNA","Homo sapiens (Human)"
"907","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","R-HSA-143378","R-HSA-975956","R-HSA-8953854","Metabolism of RNA","Homo sapiens (Human)"
"908","Nonsense-Mediated Decay (NMD)",NA,NA,NA,NA,NA
"909","NoRC negatively regulates rRNA expression","R-HSA-109634","R-HSA-427413","R-HSA-74160","Gene expression (Transcription)","Homo sapiens (Human)"
"910","Norepinephrine Neurotransmitter Release Cycle","R-HSA-141332","R-HSA-181430","R-HSA-112316","Neuronal System","Homo sapiens (Human)"
"911","Notch-HLH transcription pathway","R-HSA-212451","R-HSA-350054","R-HSA-74160","Gene expression (Transcription)","Homo sapiens (Human)"
"912","NOTCH1 Intracellular Domain Regulates Transcription","R-HSA-1604460","R-HSA-2122947","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"913","NOTCH2 Activation and Transmission of Signal to the Nucleus","R-HSA-157005","R-HSA-2979096","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"914","NOTCH2 intracellular domain regulates transcription","R-HSA-111911","R-HSA-2197563","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"915","NOTCH3 Activation and Transmission of Signal to the Nucleus","R-HSA-157048","R-HSA-9013507","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"916","NOTCH3 Intracellular Domain Regulates Transcription","R-HSA-1604460","R-HSA-9013508","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"917","NOTCH4 Activation and Transmission of Signal to the Nucleus","R-HSA-157053","R-HSA-9013700","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"918","NOTCH4 Intracellular Domain Regulates Transcription","R-HSA-1604460","R-HSA-9013695","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"919","NR1H2 and NR1H3-mediated signaling",NA,NA,NA,NA,NA
"920","NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux","R-HSA-2318738","R-HSA-9029569","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"921","NRAGE signals death through JNK","R-HSA-114527","R-HSA-193648","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"922","NRIF signals cell death from the nucleus","R-HSA-157343","R-HSA-205043","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"923","NS1 Mediated Effects on Host Pathways","R-FLU-169143","R-HSA-168276","R-HSA-1643685","Disease","Influenza A virus"
"924","NS1 Mediated Effects on Host Pathways","R-HSA-1169392","R-HSA-168276","R-HSA-1643685","Disease","Homo sapiens (Human)"
"925","Nuclear Envelope (NE) Reassembly",NA,NA,NA,NA,NA
"926","Nuclear Envelope Breakdown","R-HSA-2993891","R-HSA-2980766","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"927","Nuclear Events (kinase and transcription factor activation)",NA,NA,NA,NA,NA
"928","Nuclear events mediated by NFE2L2","R-HSA-9759102","R-HSA-9759194","R-HSA-8953897","Cellular responses to stimuli","Homo sapiens (Human)"
"929","Nuclear events stimulated by ALK signaling in cancer","R-HSA-109845","R-HSA-9725371","R-HSA-1643685","Disease","Homo sapiens (Human)"
"930","Nuclear import of Rev protein","R-HSA-157689","R-HSA-180746","R-HSA-1643685","Disease","Homo sapiens (Human)"
"931","Nuclear Pore Complex (NPC) Disassembly","R-HSA-157456","R-HSA-3301854","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"932","Nuclear Receptor transcription pathway","R-HSA-376420","R-HSA-383280","R-HSA-74160","Gene expression (Transcription)","Homo sapiens (Human)"
"933","Nuclear signaling by ERBB4","R-HSA-1250293","R-HSA-1251985","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"934","Nucleosome assembly",NA,NA,NA,NA,NA
"935","Nucleotide biosynthesis",NA,NA,NA,NA,NA
"936","Nucleotide catabolism","R-HSA-8866615","R-HSA-8956319","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"937","Nucleotide Excision Repair",NA,NA,NA,NA,NA
"938","Nucleotide salvage",NA,NA,NA,NA,NA
"939","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",NA,NA,NA,NA,NA
"940","Nucleotide-like (purinergic) receptors",NA,NA,NA,NA,NA
"941","O-glycosylation of TSR domain-containing proteins",NA,NA,NA,NA,NA
"942","O-linked glycosylation",NA,NA,NA,NA,NA
"943","O-linked glycosylation of mucins","R-HSA-1964504","R-HSA-913709","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"944","O2/CO2 exchange in erythrocytes",NA,NA,NA,NA,NA
"945","Olfactory Signaling Pathway","R-HSA-170661","R-HSA-381753","R-HSA-9709957","Sensory Perception","Homo sapiens (Human)"
"946","Oncogene Induced Senescence","R-HSA-109845","R-HSA-2559585","R-HSA-8953897","Cellular responses to stimuli","Homo sapiens (Human)"
"947","Oncogenic MAPK signaling",NA,NA,NA,NA,NA
"948","Opioid Signalling","R-HSA-112039","R-HSA-111885","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"949","Opsins","R-HSA-419779","R-HSA-419771","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"950","Orc1 removal from chromatin","R-HSA-157563","R-HSA-68949","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"951","Orc1 removal from chromatin","R-HSA-157563","R-HSA-68949","R-HSA-69306","DNA Replication","Homo sapiens (Human)"
"952","Organelle biogenesis and maintenance",NA,NA,NA,"Organelle biogenesis and maintenance",NA
"953","Organic anion transporters",NA,NA,NA,NA,NA
"954","Organic cation transport",NA,NA,NA,NA,NA
"955","Organic cation/anion/zwitterion transport",NA,NA,NA,NA,NA
"956","Other interleukin signaling","R-HSA-350870","R-HSA-449836","R-HSA-168256","Immune System","Homo sapiens (Human)"
"957","Other semaphorin interactions","R-HSA-209639","R-HSA-416700","R-HSA-1266738","Developmental Biology","Homo sapiens (Human)"
"958","Ovarian tumor domain proteases","R-HSA-168408","R-HSA-5689896","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"959","Oxidative Stress Induced Senescence","R-HSA-109845","R-HSA-2559580","R-HSA-8953897","Cellular responses to stimuli","Homo sapiens (Human)"
"960","Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha","R-HSA-1234100","R-HSA-1234176","R-HSA-8953897","Cellular responses to stimuli","Homo sapiens (Human)"
"961","p130Cas linkage to MAPK signaling for integrins","R-HSA-114514","R-HSA-372708","R-HSA-109582","Hemostasis","Homo sapiens (Human)"
"962","p130Cas linkage to MAPK signaling for integrins","R-HSA-114514","R-HSA-372708","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"963","P2Y receptors","R-HSA-417834","R-HSA-417957","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"964","p38MAPK events","R-HSA-109783","R-HSA-171007","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"965","p53-Dependent G1 DNA Damage Response","R-HSA-141608","R-HSA-69563","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"966","p53-Dependent G1/S DNA damage checkpoint",NA,NA,NA,NA,NA
"967","p53-Independent DNA Damage Response",NA,NA,NA,NA,NA
"968","p53-Independent G1/S DNA damage checkpoint",NA,NA,NA,NA,NA
"969","p75 NTR receptor-mediated signalling",NA,NA,NA,NA,NA
"970","p75NTR recruits signalling complexes","R-HSA-187031","R-HSA-209543","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"971","p75NTR regulates axonogenesis",NA,NA,NA,NA,NA
"972","p75NTR signals via NF-kB",NA,NA,NA,NA,NA
"973","Packaging Of Telomere Ends","R-HSA-174898","R-HSA-171306","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"974","Paracetamol ADME","R-ALL-9753938","R-HSA-9753281","R-HSA-9748784","Drug ADME","General (all species)"
"975","Paracetamol ADME","R-HSA-1247898","R-HSA-9753281","R-HSA-9748784","Drug ADME","Homo sapiens (Human)"
"976","Paradoxical activation of RAF signaling by kinase inactive BRAF","R-HSA-109783","R-HSA-6802955","R-HSA-1643685","Disease","Homo sapiens (Human)"
"977","Parasite infection",NA,NA,NA,NA,NA
"978","Passive transport by Aquaporins","R-HSA-2754725","R-HSA-432047","R-HSA-382551","Transport of small molecules","Homo sapiens (Human)"
"979","Pausing and recovery of HIV elongation","R-HSA-109631","R-HSA-167290","R-HSA-1643685","Disease","Homo sapiens (Human)"
"980","Pausing and recovery of Tat-mediated HIV elongation","R-HSA-109631","R-HSA-167238","R-HSA-1643685","Disease","Homo sapiens (Human)"
"981","PCNA-Dependent Long Patch Base Excision Repair","R-HSA-110407","R-HSA-5651801","R-HSA-73894","DNA Repair","Homo sapiens (Human)"
"982","PCP/CE pathway","R-HSA-3858468","R-HSA-4086400","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"983","PD-1 signaling",NA,NA,NA,NA,NA
"984","PECAM1 interactions","R-HSA-210216","R-HSA-210990","R-HSA-109582","Hemostasis","Homo sapiens (Human)"
"985","Pentose phosphate pathway","R-HSA-453137","R-HSA-71336","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"986","Peptide chain elongation","R-HSA-141952","R-HSA-156902","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"987","Peptide hormone biosynthesis","R-HSA-378974","R-HSA-209952","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"988","Peptide hormone metabolism",NA,NA,NA,NA,NA
"989","Peptide ligand-binding receptors","R-HSA-156786","R-HSA-375276","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"990","PERK regulates gene expression","R-HSA-381062","R-HSA-381042","R-HSA-8953897","Cellular responses to stimuli","Homo sapiens (Human)"
"991","Peroxisomal lipid metabolism","R-HSA-6787808","R-HSA-390918","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"992","Peroxisomal protein import","R-HSA-8953904","R-HSA-9033241","R-HSA-9609507","Protein localization","Homo sapiens (Human)"
"993","Pervasive developmental disorders",NA,NA,NA,NA,NA
"994","Pexophagy","R-HSA-9665163","R-HSA-9664873","R-HSA-9612973","Autophagy","Homo sapiens (Human)"
"995","Phase 0 - rapid depolarisation","R-HSA-432792","R-HSA-5576892","R-HSA-397014","Muscle contraction","Homo sapiens (Human)"
"996","Phase 2 - plateau phase","R-HSA-5577100","R-HSA-5576893","R-HSA-397014","Muscle contraction","Homo sapiens (Human)"
"997","Phase 4 - resting membrane potential","R-HSA-1299200","R-HSA-5576886","R-HSA-397014","Muscle contraction","Homo sapiens (Human)"
"998","Phase I - Functionalization of compounds","R-HSA-5693667","R-HSA-211945","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"999","Phase II - Conjugation of compounds",NA,NA,NA,NA,NA
"1000","Phenylalanine and tyrosine metabolism",NA,NA,NA,NA,NA
"1001","Phospholipase C-mediated cascade; FGFR2","R-HSA-190411","R-HSA-5654221","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1002","Phospholipase C-mediated cascade; FGFR3","R-HSA-190380","R-HSA-5654227","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1003","Phospholipase C-mediated cascade; FGFR4","R-HSA-1307958","R-HSA-5654228","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1004","Phospholipase C-mediated cascade: FGFR1","R-HSA-190203","R-HSA-5654219","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1005","Phospholipid metabolism",NA,NA,NA,NA,NA
"1006","Phosphorylation of CD3 and TCR zeta chains","R-HSA-198183","R-HSA-202427","R-HSA-168256","Immune System","Homo sapiens (Human)"
"1007","Phosphorylation of the APC/C","R-HSA-170160","R-HSA-176412","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"1008","Physiological factors","R-HSA-2032799","R-HSA-5578768","R-HSA-397014","Muscle contraction","Homo sapiens (Human)"
"1009","PI Metabolism",NA,NA,NA,NA,NA
"1010","PI-3K cascade:FGFR1","R-HSA-179849","R-HSA-5654689","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1011","PI-3K cascade:FGFR2","R-HSA-179849","R-HSA-5654695","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1012","PI-3K cascade:FGFR3","R-HSA-179849","R-HSA-5654710","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1013","PI-3K cascade:FGFR4","R-HSA-1307958","R-HSA-5654720","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1014","PI3K Cascade","R-HSA-1307958","R-HSA-109704","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1015","PI3K events in ERBB2 signaling","R-HSA-1248702","R-HSA-1963642","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1016","PI3K events in ERBB4 signaling","R-HSA-1250373","R-HSA-1250342","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1017","PI3K/AKT Signaling in Cancer",NA,NA,NA,NA,NA
"1018","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling","R-HSA-1045152","R-HSA-6811558","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1019","PINK1-PRKN Mediated Mitophagy","R-HSA-1252240","R-HSA-5205685","R-HSA-9612973","Autophagy","Homo sapiens (Human)"
"1020","PIP3 activates AKT signaling","R-COV-9694702","R-HSA-1257604","R-HSA-162582","Signal Transduction","Human SARS coronavirus"
"1021","PIP3 activates AKT signaling","R-HSA-1045152","R-HSA-1257604","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1022","PIWI-interacting RNA (piRNA) biogenesis","R-HSA-209680","R-HSA-5601884","R-HSA-74160","Gene expression (Transcription)","Homo sapiens (Human)"
"1023","PKA activation","R-HSA-111922","R-HSA-163615","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1024","PKA activation in glucagon signalling","R-HSA-111922","R-HSA-164378","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1025","PKA-mediated phosphorylation of CREB","R-HSA-111911","R-HSA-111931","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1026","PKMTs methylate histone lysines","R-HSA-177673","R-HSA-3214841","R-HSA-4839726","Chromatin organization","Homo sapiens (Human)"
"1027","Plasma lipoprotein assembly",NA,NA,NA,NA,NA
"1028","Plasma lipoprotein assembly, remodeling, and clearance",NA,NA,NA,NA,NA
"1029","Plasma lipoprotein clearance",NA,NA,NA,NA,NA
"1030","Plasma lipoprotein remodeling",NA,NA,NA,NA,NA
"1031","Platelet activation, signaling and aggregation",NA,NA,NA,NA,NA
"1032","Platelet Adhesion to exposed collagen","R-HSA-114561","R-HSA-75892","R-HSA-109582","Hemostasis","Homo sapiens (Human)"
"1033","Platelet Aggregation (Plug Formation)","R-HSA-114596","R-HSA-76009","R-HSA-109582","Hemostasis","Homo sapiens (Human)"
"1034","Platelet calcium homeostasis",NA,NA,NA,NA,NA
"1035","Platelet degranulation ","R-HSA-114513","R-HSA-114608","R-HSA-109582","Hemostasis","Homo sapiens (Human)"
"1036","Platelet homeostasis","R-HSA-139848","R-HSA-418346","R-HSA-109582","Hemostasis","Homo sapiens (Human)"
"1037","Platelet sensitization by LDL","R-HSA-171131","R-HSA-432142","R-HSA-109582","Hemostasis","Homo sapiens (Human)"
"1038","PLC beta mediated events","R-HSA-111856","R-HSA-112043","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1039","Polo-like kinase mediated events","R-HSA-1362248","R-HSA-156711","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"1040","Polymerase switching","R-HSA-68423","R-HSA-69091","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"1041","Polymerase switching","R-HSA-68423","R-HSA-69091","R-HSA-69306","DNA Replication","Homo sapiens (Human)"
"1042","Polymerase switching on the C-strand of the telomere","R-HSA-174433","R-HSA-174411","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"1043","Positive epigenetic regulation of rRNA expression",NA,NA,NA,NA,NA
"1044","Post NMDA receptor activation events",NA,NA,NA,NA,NA
"1045","Post-chaperonin tubulin folding pathway","R-HSA-391235","R-HSA-389977","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"1046","Post-translational modification: synthesis of GPI-anchored proteins","R-HSA-8940720","R-HSA-163125","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"1047","Post-translational protein modification",NA,NA,NA,NA,NA
"1048","Post-translational protein phosphorylation","R-HSA-8952321","R-HSA-8957275","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"1049","Postmitotic nuclear pore complex (NPC) reformation","R-HSA-180686","R-HSA-9615933","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"1050","Postsynaptic nicotinic acetylcholine receptors",NA,NA,NA,NA,NA
"1051","Potassium Channels",NA,NA,NA,NA,NA
"1052","Potential therapeutics for SARS","R-HCV-9680835","R-HSA-9679191","R-HSA-1643685","Disease","Hepatitis C virus"
"1053","Potential therapeutics for SARS","R-HSA-111583","R-HSA-9679191","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1054","POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation","R-HSA-2889003","R-HSA-2892247","R-HSA-1266738","Developmental Biology","Homo sapiens (Human)"
"1055","PPARA activates gene expression","R-HSA-1368079","R-HSA-1989781","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1056","PRC2 methylates histones and DNA","R-HSA-212285","R-HSA-212300","R-HSA-74160","Gene expression (Transcription)","Homo sapiens (Human)"
"1057","Pre-NOTCH Expression and Processing",NA,NA,NA,NA,NA
"1058","Pre-NOTCH Processing in Golgi","R-HSA-157005","R-HSA-1912420","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1059","Pre-NOTCH Transcription and Translation","R-HSA-1604460","R-HSA-1912408","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1060","Prefoldin mediated transfer of substrate  to CCT/TriC","R-HSA-390452","R-HSA-389957","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"1061","Pregnenolone biosynthesis","R-HSA-196124","R-HSA-196108","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1062","Presynaptic depolarization and calcium channel opening","R-HSA-210394","R-HSA-112308","R-HSA-112316","Neuronal System","Homo sapiens (Human)"
"1063","Presynaptic function of Kainate receptors","R-HSA-167434","R-HSA-500657","R-HSA-112316","Neuronal System","Homo sapiens (Human)"
"1064","Presynaptic nicotinic acetylcholine receptors",NA,NA,NA,NA,NA
"1065","Presynaptic phase of homologous DNA pairing and strand exchange","R-HSA-176269","R-HSA-5693616","R-HSA-73894","DNA Repair","Homo sapiens (Human)"
"1066","Processing and activation of SUMO",NA,NA,NA,NA,NA
"1067","Processing of Capped Intron-Containing Pre-mRNA","R-HSA-109631","R-HSA-72203","R-HSA-8953854","Metabolism of RNA","Homo sapiens (Human)"
"1068","Processing of Capped Intronless Pre-mRNA",NA,NA,NA,NA,NA
"1069","Processing of DNA double-strand break ends","R-HSA-176269","R-HSA-5693607","R-HSA-73894","DNA Repair","Homo sapiens (Human)"
"1070","Processing of Intronless Pre-mRNAs","R-HSA-112159","R-HSA-77595","R-HSA-8953854","Metabolism of RNA","Homo sapiens (Human)"
"1071","Processing of SMDT1","R-HSA-1299458","R-HSA-8949664","R-HSA-382551","Transport of small molecules","Homo sapiens (Human)"
"1072","Processive synthesis on the C-strand of the telomere","R-HSA-174431","R-HSA-174414","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"1073","Processive synthesis on the lagging strand","R-HSA-68423","R-HSA-69183","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"1074","Processive synthesis on the lagging strand","R-HSA-68423","R-HSA-69183","R-HSA-69306","DNA Replication","Homo sapiens (Human)"
"1075","Programmed Cell Death",NA,NA,NA,"Programmed Cell Death",NA
"1076","Prolactin receptor signaling","R-HSA-1168384","R-HSA-1170546","R-HSA-168256","Immune System","Homo sapiens (Human)"
"1077","Prolonged ERK activation events",NA,NA,NA,NA,NA
"1078","Prostacyclin signalling through prostacyclin receptor","R-HSA-164333","R-HSA-392851","R-HSA-109582","Hemostasis","Homo sapiens (Human)"
"1079","Protein folding",NA,NA,NA,NA,NA
"1080","Protein localization",NA,NA,NA,"Protein localization",NA
"1081","Protein methylation",NA,NA,NA,NA,NA
"1082","Protein ubiquitination",NA,NA,NA,NA,NA
"1083","Protein-protein interactions at synapses",NA,NA,NA,NA,NA
"1084","PTEN Regulation",NA,NA,NA,NA,NA
"1085","PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases","R-HSA-109783","R-HSA-8849471","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"1086","Purine catabolism","R-HSA-109266","R-HSA-74259","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1087","Purine ribonucleoside monophosphate biosynthesis","R-HSA-111408","R-HSA-73817","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1088","Purine salvage","R-HSA-2161178","R-HSA-74217","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1089","Purinergic signaling in leishmaniasis infection","R-HSA-109266","R-HSA-9660826","R-HSA-1643685","Disease","Homo sapiens (Human)"
"1090","Pyrimidine catabolism","R-HSA-109266","R-HSA-73621","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1091","Pyrimidine salvage","R-HSA-112267","R-HSA-73614","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1092","Pyroptosis","R-HSA-114262","R-HSA-5620971","R-HSA-5357801","Programmed Cell Death","Homo sapiens (Human)"
"1093","Pyruvate metabolism","R-HSA-2512902","R-HSA-70268","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"1094","Pyruvate metabolism and Citric Acid (TCA) cycle",NA,NA,NA,NA,NA
